Product Name,Product Link,Product Price,Product Category,Image & Anchor Links,Full Description,Left Eye Power,Right Eye Power,Sale Price,Product Subcategory
Mizon Collagen Serum 100-30Ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-collagen-serum-100-30ml,15.0,Self Care,"https://cdn.adasat.online/product/additional/product31696411706.jpg, https://cdn.adasat.online/product/product11696411706.jpg, https://cdn.adasat.online/product/additional/product21696411706.jpg, https://cdn.adasat.online/product/additional/product31696411706.jpg, https://cdn.adasat.online/product/product11696411706.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
Collagen Serum blended with marine collagen, hyaluronic acid and peptides to make this a must-have serum in every anti aging routine.
Perfect for dryer skin types, this serum also contains Pathenol and Chia seet extracts to form a protective moisture barrier over the skin
HOW TO USE:
After cleansing and toning, apply a dropper full of serum to your finger and gently massaage into your face.
Follow with your favorite moisturiser.
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon Collagen Power Lifting Cream 75 ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-collagen-power-lifting-cream-75-ml,13.0,Self Care,"https://cdn.adasat.online/product/additional/product31696411619.jpg, https://cdn.adasat.online/product/product11696411619.jpg, https://cdn.adasat.online/product/additional/product21696411619.jpg, https://cdn.adasat.online/product/additional/product31696411619.jpg, https://cdn.adasat.online/product/product11696411619.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
It is an effective moisturizing cream that stimulates the skin's natural collagen production, enhancing its elasticity and reducing the appearance of wrinkles and fine lines.
This powerful cream also contains a blend of nourishing and hydrating ingredients, such as Argan Oil, Glycerin, and Shea Butter, that help deeply moisturize and nourish the skin.
HOW TO USE:
Apply a moderate amount to your skin, patting in until fully absorbed.
Use in the mornings and evenings as the last step in your skin care routine.
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon Collagen Intensive Toner 120 ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-collagen-intensive-toner-120-ml,9.0,Self Care,"https://cdn.adasat.online/product/additional/product21696411126.jpg, https://cdn.adasat.online/product/product11696411126.jpg, https://cdn.adasat.online/product/additional/product21696411126.jpg, https://cdn.adasat.online/product/product11696411126.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
The Mizon Collagen Power Lifting Toner is a fantastic makeup remover that provides an effective blend of collagen, peptides, and hyaluronic acid for your skin.
This wonderful remover is designed to nourish and renew your skin, making it appear fuller, smoother, and more youthful
HOW TO USE:
After cleansing, apply this product with your fingers or a cotton pad to prep and prime the skin.
Apply multiple times as needed if your skin is feeling particularly dry or irritated.
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon Cicaluronic Moisturizing Serum 30M,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-cicaluronic-moisturizing-serum-30m,14.5,Self Care,"https://cdn.adasat.online/product/additional/product31696411038.jpg, https://cdn.adasat.online/product/product11696411037.jpg, https://cdn.adasat.online/product/additional/product21696411038.jpg, https://cdn.adasat.online/product/additional/product31696411038.jpg, https://cdn.adasat.online/product/product11696411037.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
The Cicaluronic serum is a luxurious 2-in-1 cooling moisture treatment, enriched with Mizon's mighty Cicaluronic complex to calm,  plump and promote a healthier skin barrier in just one drop.
A highly concentrated synergy of 7 forms of Centella, and 8-types of Hyaluronic Acid power this gel serum, working together to provide an instant cooling sensation and deliver moisture deep into the skin.
The serum has a lightweight and refreshing texture, making it easily absorbed and suitable for all skin types.
It works to improve the appearance and vitality of the skin, reducing the visibility of fine lines and wrinkles.
HOW TO USE:
After toning your skin.
Apply 1-2 drops into your palms, and gently massage or pat the serum into your skin
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon Black Snail All In One Cream 75ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-black-snail-all-in-one-cream-75ml,12.5,Self Care,"https://cdn.adasat.online/product/additional/product31696410900.jpg, https://cdn.adasat.online/product/product11696410899.jpg, https://cdn.adasat.online/product/additional/product21696410900.jpg, https://cdn.adasat.online/product/additional/product31696410900.jpg, https://cdn.adasat.online/product/product11696410899.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
Mizon Black Snail All In One Cream is a versatile and effective cream that combines a fast-absorbing, lightweight formula with deep hydration and skin protection from external
Contains adenosine, a dermatologically proven ingredient that reduces fine lines and has anti-aging effects.
The peptide and vitamin 5 in the formula also add strength and help achieve firmer skin
HOW TO USE:
Apply an  adequte amount of the cream after using the facial toner all over the face until completely absorbed 
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon All In One Snail Repair Cream 75ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-all-in-one-snail-repair-cream-75ml,13.0,Self Care,"https://cdn.adasat.online/product/additional/product31696410753.jpg, https://cdn.adasat.online/product/product11696410753.jpg, https://cdn.adasat.online/product/additional/product21696410753.jpg, https://cdn.adasat.online/product/additional/product31696410753.jpg, https://cdn.adasat.online/product/product11696410753.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
Mizon All In One Snail Repair Cream is a multi-use cream that contains 92% filtered snail mucin extracted from black snail, which are known for their nourishing, moisturizing and healing properties.
It reduces scarring, regulates excess sebum production and moisturises the skin, no matter how dry.
HOW TO USE:
Apply enough cream to treat your face and neck .
Massage gently in upward motions until fully absorbed.
Let dry for one minute before moving on to the next step of your routine.
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Mizon Snail Recovery Gel Cream 45ml,https://adasat.online/kw-en/product-details/accessories/self-care/mizon/mizon-snail-recovery-gel-cream-45ml,6.5,Self Care,"https://cdn.adasat.online/product/additional/product21696408959.jpg, https://cdn.adasat.online/product/product11696408959.jpg, https://cdn.adasat.online/product/additional/product21696408959.jpg, https://cdn.adasat.online/product/product11696408959.jpg","GENERAL DESCRIPTION
GENERAL INFO:
DESCRIPTION:
This moisturizing gel has a refreshing and non-greasy texture that quickly absorbs into the skin, leaving it soft, radiant, and glowing.
It is suitable for all skin types, including sensitive skin, and can be used as a standalone moisturizer or as part of your daily skincare routine.
HOW TO USE:
Apply all over face and neck and gently massage into skin after cleansing
Double up to use as a sleeping pack.
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",not there,not there,,Mizon
Desi Blue,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/desi-blue2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695047226.jpg, https://cdn.adasat.online/product/product11695047225.jpg, https://cdn.adasat.online/product/additional/product21695047226.jpg, https://cdn.adasat.online/product/product11695047225.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Desi Gray,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/desi-gray2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695047031.jpg, https://cdn.adasat.online/product/product11695047031.jpg, https://cdn.adasat.online/product/additional/product21695047031.jpg, https://cdn.adasat.online/product/product11695047031.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Desi Green,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/desi-green2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695046840.jpg, https://cdn.adasat.online/product/product11695046840.jpg, https://cdn.adasat.online/product/additional/product21695046840.jpg, https://cdn.adasat.online/product/product11695046840.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-4.00,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-4.00,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Diva april,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-april3,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709033221.jpg, https://cdn.adasat.online/product/product11709033221.jpg, https://cdn.adasat.online/product/additional/product21709033221.jpg, https://cdn.adasat.online/product/product11709033221.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Diva Brown,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-brown2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709033336.jpg, https://cdn.adasat.online/product/product11709033335.jpg, https://cdn.adasat.online/product/additional/product21709033336.jpg, https://cdn.adasat.online/product/product11709033335.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,5.0,Victoria Monthly
Diva Gold,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-gold2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695046508.jpg, https://cdn.adasat.online/product/product11695046508.jpg, https://cdn.adasat.online/product/additional/product21695046508.jpg, https://cdn.adasat.online/product/product11695046508.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-1.00,-1.50,-2.00,-2.50,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-1.00,-1.50,-2.00,-2.50,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Diva Green,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-green2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709032616.jpg, https://cdn.adasat.online/product/product11709032616.jpg, https://cdn.adasat.online/product/additional/product21709032616.jpg, https://cdn.adasat.online/product/product11709032616.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Diva hazel,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-hazel2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709033142.jpg, https://cdn.adasat.online/product/product11709033142.jpg, https://cdn.adasat.online/product/additional/product21709033142.jpg, https://cdn.adasat.online/product/product11709033142.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,5.0,Victoria Monthly
Diva Mar,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-mar2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709033294.jpg, https://cdn.adasat.online/product/product11709033294.jpg, https://cdn.adasat.online/product/additional/product21709033294.jpg, https://cdn.adasat.online/product/product11709033294.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Diva mavi,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-mavi2,12.0,Victoria,"https://cdn.adasat.online/product/additional/product21695043153.jpg, https://cdn.adasat.online/product/product11695043153.jpg, https://cdn.adasat.online/product/additional/product21695043153.jpg, https://cdn.adasat.online/product/product11695043153.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",6.0,Victoria Monthly
Diva shadow,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/diva-shadow,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21709032657.jpg, https://cdn.adasat.online/product/product11709032657.jpg, https://cdn.adasat.online/product/additional/product21709032657.jpg, https://cdn.adasat.online/product/product11709032657.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Maroun Blue,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/maroun-blue3,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695041260.jpg, https://cdn.adasat.online/product/product11695041260.jpg, https://cdn.adasat.online/product/additional/product21695041260.jpg, https://cdn.adasat.online/product/product11695041260.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only",0,0,5.0,Victoria Monthly
Maroun Gray,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/maroun-gray2,10.0,Victoria,"https://cdn.adasat.online/product/additional/product21695039699.jpg, https://cdn.adasat.online/product/product11695039698.jpg, https://cdn.adasat.online/product/additional/product21695039699.jpg, https://cdn.adasat.online/product/product11695039698.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-3.75,-4.00,-4.50,-5.00,-5.50,-6.00",5.0,Victoria Monthly
Maroun Green,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/maroun-green2,12.0,Victoria,"https://cdn.adasat.online/product/additional/product21695039020.jpg, https://cdn.adasat.online/product/product11695039020.jpg, https://cdn.adasat.online/product/additional/product21695039020.jpg, https://cdn.adasat.online/product/product11695039020.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",6.0,Victoria Monthly
Maroun Hazel,https://adasat.online/kw-en/product-details/colored-lenses/victoria/victoria-monthly/maroun-hazel2,12.0,Victoria,"https://cdn.adasat.online/product/additional/product21695038143.jpg, https://cdn.adasat.online/product/product11695038143.jpg, https://cdn.adasat.online/product/additional/product21695038143.jpg, https://cdn.adasat.online/product/product11695038143.jpg","GENERAL DESCRIPTION
GENERAL INFO:
· PACKAGING                           1 box contains 2 lenses
· REPLACEMENT                      monthly disposable
· LENS MATERIAL                     38%H2O, Polymacon
· LENS SEGMENT                     Colored lens
· DIAMETER                             14.5
· BASE CURVE                          8.7
Local Delivery within 48 working hours
Cash on delivery service cost 1 KD
Working hours: 10:00 AM - 7:00 PM Kuwait Time
Customer service 00965 22282990
Delivery to: (Sabah Al Ahmad, Al Wafra, Umm Al Hayman, Al Khairan, South Abdullah Al Mubarak, West Abdullah Al Mubarak, Ahmadi) is Saturday, Monday, Wednesday Only","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00","0.00,-0.50,-0.75,-1.00,-1.25,-1.50,-1.75,-2.00,-2.25,-2.50,-2.75,-3.00,-3.25,-3.50,-4.00,-4.50,-5.00,-5.50,-6.00",6.0,Victoria Monthly
RV Colorstay Matte Lite Crayon 003,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/rv-colorstay-matte-lite-crayon-003,5.25,,,,not there,not there,,
revlon matte lite crayon the air,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/revlon-matte-lite-crayon-the-air,5.0,,,,not there,not there,,
revlon matte lite crayon cloud wine,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/revlon-matte-lite-crayon-cloud-wine,5.0,,,,not there,not there,,
revlon matte lite crayon air kiss,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/revlon-matte-lite-crayon-air-kiss,5.0,,,,not there,not there,,
revlon matte lite crayon take flight,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/revlon-matte-lite-crayon-take-flight,5.0,,,,not there,not there,,
revlon Satin Ink Liquid citrine queen,https://adasat.online/kw-en/product-details/accessories/lipstick/revlon/revlon-satin-ink-liquid-citrine-queen,5.5,,,,not there,not there,,
