Full Name,Division,Insurance Network
"Satin Zarkar, DO",Psychiatry,"Oscar
Clinically Integrated Network Member"
"Michael J Zeidman, MD",General Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Joshua R Zeiger, MD",Otolaryngology,"Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Nebras Zeizafoun, MD",Anatomic & Clinical Pathology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Kristen Zeligs, MD",Obstetrics & Gynecology,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Empire (Commercial) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Jennifer Zeng, MD",Pathology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Christina T Zhang, DO",Emergency Medicine,"MiDoctor Primary Care/Eastside Physicians of NYC, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Linda P Zhang, MD",General Surgery / Bariatric Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Di Zhou, MD",Ophthalmology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Robert J Ziets, MD",Orthopaedic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jonathan D Zimmerman, MD",Psychiatry,"Aetna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Top Tier, UMR Top Tier
Clinically Integrated Network Member"
"Lauren E Zinns, MD",Pediatrics,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Emblem Health (HIP) Clinical Integrated Network, Empire 
(Commercial) Clinical Integrated Network, Humana (Medicare), Oscar, 
Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Yasmina Zoghbi, MD",Plastic Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Danijela S Zotovic, MD",Internal Medicine,"Bodhi Medical Care, LLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Petra Zubin Maslov, MD, PhD",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Javier J Zulueta, MD",Pulmonary Critical Care,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member
(212)523-4000    |    1000 Tenth Avenue, New York, NY 10019    |     1.11 miles
Ethan Abbott, DO
Emergency Medicine
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Dalia Abdel Azim, MD",Anatomic Pathology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Brian Abittan, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jessica Ables, MD",Psychiatry,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Empire (Commercial) Clinical Integrated Network, Oscar, Top Tier
Clinically Integrated Network Member"
"Cynthia Abraham, MD",Obstetrics & Gynecology,"Centivo Comerical, Emblem Health (HIP) Clinical Integrated Network, 
Humana (Medicare), Oscar, Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Gallane D Abraham, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Rory Abrams, MD",Neurology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Matthew Abramson, MD",Nephrology / Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Emil Achmad, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Natasha Acosta Diaz, MD",Neurotology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jonas Adalsteinsson, MD",Dermatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Edward Adler, MD",Orthopaedic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Debora Afezolli, MD",Hospice & Palliative Medicine / Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Steven A Agemy, MD",Ophthalmology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Manasi Agrawal, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Nikita Agrawal, MD",Pulmonary Disease,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Samuel K Agyare, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Amanda Agyemang, MD",Pediatrics,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Emblem Health (HIP) Clinical Integrated Network, Empire 
(Commercial) Clinical Integrated Network, Oscar, Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"David Aharonoff, MD",Neurology / Epilepsy,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Danish A Ahmad, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Sumayya Ahmad, MD",Ophthalmology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jalal Ahmed, MD, PhD",Radiation Oncology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Saadia Akhtar, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Zainab Al-Ibraheemi, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Robert Aldoroty, MD",General Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Melissa A Alexander, MD",Pathology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Tariq Alfarra, DO",Physical Medicine & Rehabilitation,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Ayesha Ali, MD",Emergency Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Amy S Aloysi, MD",Psychiatry,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Top Tier
Clinically Integrated Network Member"
"Alex M Amberg, MD",Obstetrics & Gynecology,"Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Medicare) Clinical Integrated Network, Emblem (GHI 
Medicare) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Humana (Medicare), Oscar, Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member
(212 604-6059    |    325 West 15th Street, New York, NY 10003    |     1.24 miles
Gregory Amend, MD
Urology
Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Shyam Amin, MD",Cardiology,
Clinical Integrated Network,Clinically Integrated Network Member,
"Monica K Amoo-Achampong, MD",Pediatrics,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Leonard D Amoruso, DO",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"James J Andersen, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Brett Anderson, MD",Pediatrics,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"David Anderson, MD",General Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jeffrey Anderson, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Jordyn Anderson, PsyD",Psychology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Allen D Andrade, MD",Geriatric Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Mark C Andreae, MD",Emergency Medicine,"Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Claire Ankuda, MD",Geriatric Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Shawn G Anthony, MD",Orthopaedic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Donald Apakama, MD",Emergency Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Olusegun A Apoeso, MBBS",Hospice & Palliative Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Rachel Arakawa, MD","Endocrinology, Diabetes and Metabolism","Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Suzanne A Arinsburg, MD",Anatomic Pathology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Robert Arnold, MD",Hospice & Palliative Medicine,Clinically Integrated Network Member
"Rica Arnon, MD",Pediatric Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Emblem Health (HIP) Clinical Integrated Network, Empire 
(Commercial) Clinical Integrated Network, Humana (Medicare), Oscar, 
Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Johnny I Arnouk, MD",Orthopaedic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ranjit Arpels-Josiah, MD",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Martin J Arron, MD",Internal Medicine,
"Health (HIP) Clinical Integrated Network, Empire (Commercial) Clinic","Integrated Network, Empire (Commercial/Medicare) Clinical Integrate","Network, Humana (Medicare), Humana (Medicare), Oscar, Oscar, To
Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Steven J Arsht, MD",Orthopaedic Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Gil I Ascunce, MD",Gastroenterology,"Gil I. Ascunce MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Centivo Comerical, Cigna (Commercial) Clinical Integrated 
Network, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Cigna (Medicare) Clinical 
Integrated Network, Emblem (GHI Commerical) Clinical Integrated 
Network, Emblem (GHI Medicare) Clinical Integrated Network, 
Emblem (GHI Medicare) Clinical Integrated Network, Emblem (HIP 
Medicaid) Clinical Integrated Network, Emblem Health (HIP 
Commerical and Medicare) Clinical Integrated Network, Emblem 
Health (HIP Commerical and Medicare) Clinical Integrated Network, 
Empire (Commercial/Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Humana (Medicare), Oscar, Oscar, UMR Top Tier, UMR 
Top Tier, United (Commercial) Clinical Integrated Network, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Kenneth B Ashley, MD",Psychiatry / Psychosomatic Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Top Tier
Clinically Integrated Network Member"
"Jesse J Astwood, MD",Psychiatry,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Haytham Atileh, MD",Critical Care Medicine / Pulmonary Disease,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Kyrollis Attalla, MD",Urology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Su S Aung, MD",Geriatric Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Bella K Avanessian, MD",Plastic Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Nita G Avrith, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Felipe A Ayala, MD",Neurology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Luis Aybar, MD",Cardiology / Nuclear Cardiology,
Clinically Integrated Network Member,"(212) 844-8830    |    10 Union Square East, New York, NY 10003    |     1.24 miles",
"Hameed Azeb Shahul, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Hae Young Baang, MD",Neurocritical Care,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Alina Babar, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Ketan K Badani, MD",Urology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Helen Badu, MD",Neurology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Virginia M Baez Socorro, MD",Pediatrics,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Shahla Baharlou, MD",Geriatric Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Matthew Y Bai, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Kayleen Bailey, MD",Pediatrics,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Ian Baine, MD",Clinical Pathology / Blood Banking/Transfusion Medicine,"Centivo Comerical, Empire (Commercial) Clinical Integrated Network, 
Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Gargi Bajpayee, MD",Internal Medicine,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Humana (Medicare), Oscar, Top Tier, United (Commercial) Clinical 
Integrated Network
Clinically Integrated Network Member"
"Maryam Bakhshandeh, MD",Pathology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Richard L Bakst, MD",Radiation Oncology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Melissa Baldwin, MD",General Surgery,
"Tara Balija, MD",Breast Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Bronislava Banar, DO",Neurology,"Centivo Comerical, Cigna (Commercial) Clinical Integrated Network, 
Emblem Health (HIP) Clinical Integrated Network, Empire 
(Commercial) Clinical Integrated Network, Humana (Medicare), Oscar, 
Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Brittany Banbury, MD",Rheumatology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member
(212)844-8101    |    10 Union Square East, New York, NY 10003    |     1.24 miles
Ronjon Banerjee, MD
Psychiatry
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Oscar, Top Tier
Clinically Integrated Network Member"
"Theodore Bania, MD",Emergency Medicine / Medical Toxicology (Emergency Medicine),"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Rudrani Banik, MD",Ophthalmology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Meena Bansal, MD",Hepatology,
"Alexander Barash, MD",Ophthalmology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Mark G Barber, MD, MPH",Neurology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Peter J Barelli, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Barbara J Barnett, MD",Emergency Medicine / Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"John Barrett, MD",Emergency Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"David Barris, MD",Pediatrics,Clinically Integrated Network Member
"Christin J Barry, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Victoria Barry, PsyD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Empire (Commercial) Clinical Integrated Network, Oscar, Top Tier
Clinically Integrated Network Member"
"Maria Basile, MD",Ophthalmology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"David S Baskin, PsyD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Cigna (Commercial) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Brett Baskovich, MD",Pathology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Adel Bassily-Marcus, MD",Critical Care Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier
Clinically Integrated Network Member"
"Arnabh Basu, MD",Psychiatry,"Oscar
Clinically Integrated Network Member"
"Amanda Bates, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Emblem Health (HIP) Clinical Integrated Network, Empire 
(Commercial) Clinical Integrated Network, Humana (Medicare), Oscar, 
Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Priti Batta, MD",Ophthalmology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Mukta Baweja, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Mary B Beasley, MD",Anatomic & Clinical Pathology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Oren Becher, MD",Pediatric Hematology-Oncology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Erin Beck, MD",Psychiatry,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jennifer Beck-Esmay, MD",Emergency Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Christian D Becker, MD",Internal Medicine / Critical Care Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member
(212)420-2377    |    10 Union Square East, Suite 3E, New York, NY 10003    |     1.24 miles
Joshua B Bederson, MD
Neurosurgery
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
