Full Name,Division
"Harry Wanar, MD",Anesthesiology / Critical Care Medicine
"Chang Wang, MD",Psychiatry
"Jing A Wang, MD",Pulmonary Disease
"Xintong Wang, MD",Pathology
"George Wanna, MD",Otolaryngology
"Yael Wapinski, MD",Pediatrics
"Stephen C Ward, MD",Liver Pathology
"Emily Wasserman, MD",Pediatrics
"Michael Waters, MD",Neurology
"Raymond V Wedderburn, MD",General Surgery
"Calvin C Wei, MD",Otolaryngology
"Jeffrey M Weinberg, MD",Dermatology
"Jeffrey M Weinberg, MD",Dermatology
"Eugene E Weise, MD",Ophthalmology
"Nirit Weiss, MD",Neurosurgery
"Rebecca S Weiss, MD",Ophthalmology
"Rebecca S Weiss, MD",Ophthalmology
"Integrated Network, Humana (Medicare), Humana (Medicare), Oscar,","Oscar, UMR Top Tier, United (Commercial) Clinical Integrated Network"
"Rebecca S Weiss, MD",Ophthalmology
"Naomi Weiss-Goldman, MD",Psychiatry
"Matthew A Weissman, MD",Pediatrics / Internal Medicine
"Ari L Weitzner, MD",Ophthalmology
"Ari L Weitzner, MD",Ophthalmology
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated","Network, Humana (Medicare), Oscar, UMR Top Tier, United"
"Kate Welch, MD",Allergy & Immunology
"Christina R Weltz, MD",Breast Surgery
"Angie E Wen, MD",Ophthalmology
"Chase Westra, MD",Emergency Medicine
"William H Westra, MD",Anatomic Pathology
"Winston Wey, MD",Geriatric Medicine
"Pascale M White, MD",Gastroenterology
"Margrit Wiesendanger, MD",Rheumatology
"Nils P Wiklund, MD",Urology
"Meredith Wilkes, MD",Pediatric Endocrinology
"Carl Wilkins, MD",Ophthalmology
"Van Don Williams, MD",Pediatrics
"Olivia Wind, MD",Dermatology
"Adam C Winters, MD",Gastroenterology
"Herbert J Wisnicki, MD",Ophthalmology
"Herbert J Wisnicki, MD",Ophthalmology
"Herbert J Wisnicki, MD",Ophthalmology
Clinically Integrated Network Member,"(212) 844-2020    |    235 Park Avenue South, New York, NY 10003    |     1.24 miles"
"David M Witzel, MD",Ophthalmology
"Alan Wong, DO",Critical Care Medicine
"Serre-Yu Wong, MD",Gastroenterology
"Stephanie J Wong, MD",Otolaryngology / Pediatric Otolaryngology
"Sze H Wong, MD",Ophthalmology
"Tommy Y Wong, MD",Emergency Medicine
"Christopher D Woodrell, MD",Geriatric Medicine
"Helaine K Worrell, MD",Obstetrics & Gynecology
"Steven Wortman, MD",Psychiatry
"Henry D Wu, MD",Cardiology / Internal Medicine
"Benjamin Wyler, MD",Emergency Medicine
"Luna Xu, MD",Ophthalmology
"Michelle Xu, MD",Dermatopathology
"Ambika Yadav, MBBS",Psychiatry
"Yuji Yamada, MD",Internal Medicine / Geriatric Medicine
"Diana H Yan, MD",Emergency Medicine
"Robert T Yanagisawa, MD","Endocrinology, Diabetes and Metabolism"
"Julie Yang, MD",Gastroenterology
"Alice S Yao, MD",Plastic Surgery
"Mabel Yau, MD",Pediatrics
"Elizabeth Yetter, MD",Emergency Medicine
"Jeremy Ying, MD",Psychiatry
"Raymund L Yong, MD",Neurosurgery
"Andrew D Yu, MD",Obstetrics & Gynecology / Clinical Informatics
"Calvin G Yu, MD",Neurology
"Ismail Zahir, MD",Pathology
"Konstantin Zakashansky, MD",Gynecologic Oncology
"Julia Zakhaleva, MD",Colon & Rectal Surgery / General Surgery
"Mariam Zakhary, DO",Physical Medicine & Rehabilitation
"Maureen F Zakowski, MD",Anatomic Pathology
"Dana Zalkin, MD",Gastroenterology
"Debra R Zane, MD",Pediatrics
"Nathan I Zapolsky, MD",Emergency Medicine
"Satin Zarkar, DO",Psychiatry
"Osama Zaytoun, MD",Urology
"Michael J Zeidman, MD",General Surgery
"Joshua R Zeiger, MD",Otolaryngology
"Nebras Zeizafoun, MD",Anatomic & Clinical Pathology
"Kristen Zeligs, MD",Obstetrics & Gynecology
"Jennifer Zeng, MD",Pathology
"Linda P Zhang, MD",General Surgery / Bariatric Surgery
"Di Zhou, MD",Ophthalmology
"Robert J Ziets, MD",Orthopaedic Surgery
"Lauren E Zinns, MD",Pediatrics
"Manuela P Zisu, MD",Psychiatry
"Yasmina Zoghbi, MD",Plastic Surgery
"Daniel Adler, MD",Gastroenterology
"Debra A Aharon, MD",Obstetrics & Gynecology
"Gregory Amend, MD",Urology
"William M Atallah, MD",Urology
"Kyrollis Attalla, MD",Urology
"Ketan K Badani, MD",Urology
"Vijay K Battu, MD",Ophthalmology
"David Bolon, MD",Cardiology
"Anate Brauer, MD",Reproductive Endocrinology and Infertility / Obstetrics & Gynecology
"Maurizio Buscarini, MD",Internal Medicine
"Erkan Buyuk, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Chelsea M Canon, MD",Obstetrics & Gynecology
"Evelyn Chu, MD",Family Medicine
"Barbara Chubak, MD",Urology
"Rachel B Danis, MD",Reproductive Endocrinology and Infertility / Obstetrics & Gynecology
"Caner Z Dinlenc, MD",Urology
"Miroslav L Djordjevic, MD",Urology
"Amanda K Doyle, MD",Dermatology
"Fernando Ferrer, MD",Urology / Pediatric Urology
"Ira Finegold, MD",Allergy & Immunology / Internal Medicine
"Juliya Fisher, MD",Dermatology
"Jenna B Friedenthal, MD",Obstetrics & Gynecology
"Yuliya Giyaur, MD",Ophthalmology
"Shreya P Goyal, MD",Hematology
"Neil H Grafstein, MD",Urological Surgery
"Aaron B Grotas, MD",Urology
"Kavita Gupta, MD",Urology
"Mantu Gupta, MD",Urology
"Gerald P Hoke, MD",Urology
"Tia Jackson-Bey, MD",Obstetrics & Gynecology
"Steven Kaplan, MD",Urology
"Bruce E Katz, MD",Dermatology
"Raymond Khargi, MD",Urology
"Jonnathan Khusid, MD",Urology
"Sung Y Kim, MD",Vascular Surgery
"Deborah Korenstein, MD",Internal Medicine
"Juyeon Lee, MD",Family Medicine
"Paul S Lee, MD",Ophthalmology
"Jovana Lekovich, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Michelle Li, MD",Family Medicine
"Chad A Lue, DO",Family Medicine
"Susan Marshall, MD",Urology
"Carl McDougall, MD",Gastroenterology
"Reza Mehrazin, MD",Urology
"Mani Menon, MD",Urology
"Yazmin Metz, MD",Gastroenterology
"Taraneh G Nazem, MD",Obstetrics & Gynecology
"Craig Nobert, MD",Urology
"Paulo A Pacheco, MD",Gastroenterology
"Michael A Palese, MD",Urology
"Vino K Palli, MD",Internal Medicine
"Dhruti Patel, MD",Urology
"Luiza F Petre, MD",Cardiology
"Rajveer S Purohit, MD",Urology
"Vahid Rahimian, DO",Allergy & Immunology / Internal Medicine
"Tal Raviv, MD",Ophthalmology
"Avinash K Reddy, MD",Urology
"Libby Rhee, DO",Dermatology
"Cameron K Rokhsar, MD",Dermatology
Clinically Integrated Network Member,"(212) 285-1110    |    121 East 60th Street,  Suite 8AB, New York, NY 10022    |     1.27 miles"
"Yulianna E Russak, MD",Dermatology
"Rollin Say, MD",Urology
"John P Sfakianos, MD",Urology
"Sovrin M Shah, MD",Urology
"Vannita Simma-Chiang, MD",Urology
"Gary J Stadtmauer, MD",Allergy & Immunology / Internal Medicine
"Daniel E Stein, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Jeffrey A Stock, MD",Pediatric Urology
"Alexis E Te, MD",Urology
"Ashutosh Tewari, MD",Urology
"Ryan B Turner, MD",Dermatology
"Vinayak G Wagaskar, MD",Urology
"Nils P Wiklund, MD",Urology
"Robert H Wilson, MD",Family Medicine
"Danny Wong, MD",Gastroenterology
"Molly K Wright, MD",Family Medicine
"Osama Zaytoun, MD",Urology
"Christina T Zhang, DO",Emergency Medicine
"Won-Taek Choe, MD",Otolaryngology
"Lynelle Granady, MD",Allergy & Immunology
"Chandra M Ivey, MD",Otolaryngology
"Guy Lin, MD",Otolaryngology
"Scott B Markowitz, MD",Otolaryngology
"Keri L Peterson, MD",Internal Medicine
"Jeffrey Delson, MD",Internal Medicine
"Tier, United (Commercial) Clinical Integrated Network",Clinically Integrated Network Member
"Carl Guillaume, MD",Gastroenterology
"Erin H Kil, MD",Dermatology
"Agnieszka Kokoszka, MD",Neurology / Clinical Neurophysiology
"Kathleen Mulligan, MD",Obstetrics & Gynecology
"Jacob Rossmer, PsyD",Psychology
"Ankit R Shah, MD",Internal Medicine
"Johnny I Arnouk, MD",Orthopaedic Surgery
"Gil I Ascunce, MD",Gastroenterology
"Armand G Cacciarelli, MD",Gastroenterology / Internal Medicine
"Tier, UMR Top Tier, United (Commercial) Clinical Integrated Network",Clinically Integrated Network Member
"Jonathan Chen, DO",Internal Medicine
"Barbara A Cheung, MD",Internal Medicine
"Elizabeth Choi, DO",Family Medicine
"Karen H Choi, OD",Optometry
"Desiree Chow, MD",Internal Medicine
"Andreas Cohrssen, MD",Family Medicine
"Christina M Cruz, MD",Internal Medicine
"Cory C Cunningham, LCSW",Licensed Clinical Social Worker
"Jared Dropkin, DO",Family Medicine
"Luis M Espinal Hichez, MD",Internal Medicine
"Olga Evdos, MD",Psychiatry
"Michael R Felsen, MD",Internal Medicine
"Vanessa E Fernandez, MD",Family Medicine
"Sophie Fortier, MD",Family Medicine
"John Galian, MD",Pediatrics
"Justin T Gasper, MD",Internal Medicine
"Ann D Glassman, DO",Family Medicine
"Shamika Gokhale, DO",Family Medicine
"Aviva D Gorig, MD",Psychiatry
"Uta Guo, MD",Internal Medicine
"Raphael L Hamilton, DDS",Dentist
"Jisu Han, DO",Family Medicine
"Virgil Hatcher, MD",Dermatology
"Alicia Henderson, LCSW",Licensed Clinical Social Worker
"Lee C Hinnant, MD",Family Medicine
"Anna J Holmgren, MD",Psychiatry / Psychosomatic Medicine
"Jennifer M Howard, MD",Obstetrics & Gynecology
"Chi Doan Huynh, MD",Internal Medicine / Infectious Disease
"Sonal B Jani, MD",Cardiology
"Rui Jiang, MD",Internal Medicine
"Pallavi Khanna, MD",Internal Medicine
"Anuradha Kottapalli, MD",Family Medicine
"Alexandra Kreps, MD",Internal Medicine
"Andrew Lam, DDS",Dentist
"Daniel Laroche, MD",Ophthalmology
"Cheong E Lee, DDS",Dentist
"Lee Y Lin, MD",Internal Medicine
"Danielle Loeb, MD",Internal Medicine
"Michael H Loshigian, DPM",Podiatry
"Nicole M Marona, LCSW",Licensed Clinical Social Worker
"Phillip Rico S Martinez, MD",Internal Medicine
"Hilda Massoud, LCSW",Licensed Clinical Social Worker
"Richard S Mizuguchi, MD",Dermatology
"Jeffry D Mutuc, MD",Family Medicine
"Dalia S Nagel, MD",Ophthalmology
"Diana Nassar, MD",Family Medicine
"Rebecca S Nerenberg, LCSW",Licensed Clinical Social Worker
"Jenna Nessa, DDS",Dentist
"David Ochshorn, LCSW",Licensed Clinical Social Worker
"Christian Olivo-Freites, MD",Internal Medicine / Infectious Disease
"Lorenzo F Ottaviano, MD",Gastroenterology
"Sun Joo Paik, DDS",Dentist
"Komal Pandya, MD",Dermatology
"Carmen E Parilla, LCSW",Licensed Clinical Social Worker
"Lauren M Perry, DO",Family Medicine
"Sreekala Raghavan, MD",Internal Medicine
"Judith T Rosenfeld, LCSW",Licensed Clinical Social Worker
"Hugo O Rosero, DO",Cardiology / Interventional Cardiology
"Rachel T Samouha, OD",Optometry
"Amy J Schlauch, DO",Family Medicine
"Zehra Siddiqui, DO",Family Medicine
"Raman Singhal, MD",Internal Medicine
"Katerina Skorobogach, LMHC",Licensed Mental Health Counselor
"Brittany K Solar, MD",Pediatrics
"Kevia L Taylor, MD",Obstetrics & Gynecology
"Brooke A Trenton, MD",Pediatrics
"Debora S Velasco, DPM",Podiatry
"Freddie C Verzosa, MD",Family Medicine
"Jesse J Xie, MD",Internal Medicine
"Marco Yeung, MD",Orthopaedic Surgery / Sports Medicine (Podiatry)
"Dina M Began, MD",Dermatology / Internal Medicine
"Charlotte Birnbaum, MD",Dermatology
"Andreas Boker, MD",Dermatology
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top","Tier, United (Commercial) Clinical Integrated Network"
"Oishee Bose, MD",Family Medicine
"Robert L Buka, MD",Dermatology
"Michele Burgess, MD",Dermatology
"Erkan Buyuk, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Chelsea M Canon, MD",Obstetrics & Gynecology
"Margot Chima, MD",Dermatology
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology
"Barry J Cohen, MD",Family Medicine / Internal Medicine
"David J Cohen, MD",Diagnostic Radiology
"Ila Dayananda, MD",Obstetrics & Gynecology
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, Humana (Medicare), Oscar, Oscar, UMR Top Tier,"
"Elizabeth Dennis, MD",Orthopaedic Surgery
"Nikhil Dhingra, MD",Dermatology
"Beau A DiCicco, MD",Dermatology
"Hysem Eldik, MD",Dermatology
"Todd Estabrook, MD",Family Medicine
"Rhonia Gordon, MD",Obstetrics & Gynecology
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, Humana (Medicare), Oscar, Oscar, UMR Top Tier,"
"Rhonia Gordon, MD",Obstetrics & Gynecology
"Alison B Gruen, MD",Dermatology
"Simi T Gupta, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology
"Meredith A Halpern, MD",Gynecology
"Afnan Haq, MD",Family Medicine
"Taryn R Huizenga, MD",Dermatology
"Shanaye Jeffers, MD",Obstetrics & Gynecology
"Hasan Khosravi, MD",Dermatology
"Nadia I Kihiczak, MD",Dermatology
"Anuradha Kottapalli, MD",Family Medicine
"Alexandra Kreps, MD",Internal Medicine
"Carolyn Kwiat, MD",Allergy & Immunology / Internal Medicine
"Hope S Langer, MD",Obstetrics & Gynecology
"Jovana Lekovich, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Kunal Malik, MD",Dermatology
"Mariana Marcu, MD",Allergy & Immunology / Internal Medicine
"Babak Mohajer, MD",Gastroenterology / Internal Medicine
"Jacques L Moritz, MD",Obstetrics & Gynecology
"Natalie M Moulton-Levy, MD",Dermatology
"Taraneh G Nazem, MD",Obstetrics & Gynecology
"John K Nia, MD",Dermatology
"Charlotte S Noorollah, DO",Dermatology
"Murray Orbuch, MD",Gastroenterology / Internal Medicine
"Sapna R Palep, MD",Dermatology
"Andrew J Peranteau, MD",Dermatology
"Andrea N Persaud, MD",Dermatology
"Claudia Rivera-Galindo, MD",Family Medicine
"Olga Rodas, MD",Obstetrics & Gynecology
"Olga Rodas, MD",Obstetrics & Gynecology
"Anna Rozman, DO",Internal Medicine
"Nada Saymeh, DO",Family Medicine
"Sanjosh Singh, DO",Dermatology
"Daniel E Stein, MD",Obstetrics & Gynecology / Reproductive Endocrinology (Obstetrics &
"Mark Strom, MD",Dermatology
"Usama Syed, MD",Dermatology
"Victor Tenenbaum, MD",Family Medicine
"Anthony W Termine, MD",Psychiatry / Psychosomatic Medicine
"Jessica M Vernon, MD",Obstetrics & Gynecology
"Douglas D Altchek, MD",Dermatology
"Gilberto E Alvarez del Manzano, MD",Dermatology
"Elliot M Charen, MD",Nephrology
"Peter L Faries, MD",Vascular Surgery
Clinical Integrated Network,Clinically Integrated Network Member
"Ella Glaser, MD",Dermatology
"Michael T Goldstein, MD",Ophthalmology
"Steven J Gruber, MD",Nephrology
"Donna Ingram, MD",Cardiology
"Afsaneh Latifi, DPM",Podiatry
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top","Tier, United (Commercial) Clinical Integrated Network"
"Suzanne M Loiselle, MD",Pediatrics
"Mitchell J Mandel, MD",Dermatology
"Chiarra M Ornillo, MD",Nephrology
"Adam K Penstein, MD",Dermatology / Internal Medicine
"Shirin S Peters, MD",Internal Medicine
"Laura M Popper, MD",Pediatrics
"Ghazal Reihani, MD",Family Medicine
"Kristen A Semanision, DO",Family Medicine
"Jonathan P Shapiro, MD",Ophthalmology
"Gary J Stadtmauer, MD",Allergy & Immunology / Internal Medicine
"Integrated Network, Emblem Health (HIP Commerical and Medicare)","Clinical Integrated Network, Empire (Commercial/Medicare) Clinical"
"Gila Aaron, MD",Obstetrics & Gynecology
"Rahul Agarwal, MD","Endocrinology, Diabetes and Metabolism / Internal Medicine"
"Nikita Agrawal, MD",Pulmonary Disease
"Cyrus A Assadi, MD",General Surgery
"Mahshid A Assadi, MD",Internal Medicine / Interventional Cardiology
"Meena Bansal, MD",Hepatology
"David H Baskin, MD",Internal Medicine
"Martin I Baskin, MD",Internal Medicine / Pulmonary Disease
"Ilana Bass, MD","Endocrinology, Diabetes and Metabolism"
"Ruchika Batwara, MD",Nephrology
"Dina M Began, MD",Dermatology / Internal Medicine
"Robert S Bernstein, MD","Endocrinology, Diabetes and Metabolism / Internal Medicine"
"(212)523-8672    |    36 West 60th Street, New York, NY 10023    |     1.87 miles","Bhavana Bhagya Rao, MD"
"Abhik Bhattacharya, MD",Gastroenterology
"Laura K Bock, MD",Internal Medicine
"Robert L Buka, MD",Dermatology
"Michele Burgess, MD",Dermatology
"John D Cahill, MD",Emergency Medicine
"Michael C Cameron, MD",Dermatology
"Christopher Cao, MD",Gastroenterology
"Fernando C Carnavali, MD",Internal Medicine
"Kimberly Cavaliere, MD",Gastroenterology
"Hayley Chester, DO",Internal Medicine
"Margot Chima, MD",Dermatology
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology
"Lawrence B Cohen, MD",Gastroenterology
"Louis J Cohen, MD",Gastroenterology
Clinical Integrated Network,Clinically Integrated Network Member
"Samantha H Cohen, PT",Physical Therapist
"Yael T Cohn, PT",Physical Therapist
"Kelsey E Collins, MD",Internal Medicine
"Jean-Frederic Colombel, MD",Gastroenterology
"Samuel J Daniel, MD",Gastroenterology / Internal Medicine
"Douglas T Dieterich, MD",Liver Diseases
"Gregory B Dodell, MD","Internal Medicine / Endocrinology, Diabetes and Metabolism"
"Edward Eden, MD",Pulmonary Disease
"Raymonde E Ernest-Jean, MD",Critical Care Medicine / Pulmonary Disease
"Laura J Fitzpatrick, MD",Dermatology
"Etta Frankel, MD",Internal Medicine / Hematology & Oncology
"Yesika A Garcia-Lopez, MD","Endocrinology, Diabetes and Metabolism"
"Cheyenne Gauvin, PT",Physical Therapist
"Bruce P Gelman, MD",Gastroenterology
"Sonia Gidwani, MD",Pediatrics
Clinically Integrated Network Member,"(212) 496-5437    |    135 West 70th St, Ste 1J, New York, NY 10023    |     1.87 miles"
"Christopher A Gold, DO",Internal Medicine
"Stephanie L Gold, MD",Gastroenterology
"Gabrielle Goldberg, MD",Internal Medicine
"Tessa S Gomez, MD",Infectious Disease
"Karl R Goodman, MD",Internal Medicine / Geriatric Medicine
"Mark A Gorny, MD",Internal Medicine
"Zoe Gottlieb, MD",Gastroenterology
"Peter Goulden, MD","Endocrinology, Diabetes and Metabolism"
"Ari M Grinspan, MD",Internal Medicine
"Alison B Gruen, MD",Dermatology
"Jay Guevarra, MD",Pulmonary Disease / Pulmonary Critical Care
"Peter W Hashim, MD",Dermatology
"Robert P Hirten, MD",Internal Medicine / Gastroenterology
"Nicholas Hoerter, MD",Gastroenterology
"Dora Huang, RD",Dietician
"Steven Itzkowitz, MD",Gastroenterology
"Jennifer Jo, MD",Internal Medicine
"Daniela Jodorkovsky, MD",Gastroenterology
"Karina Jordan, MD",Internal Medicine / Sleep Medicine
"Maia Kayal, MD",Internal Medicine / Gastroenterology
"Laurie Keefer, PhD",Psychology
"Hasan Khosravi, MD",Dermatology
"Jonathan R Koppel, MD",Internal Medicine
"Sanjana C Koshy, MD",Infectious Disease / Internal Medicine
"Nikhil A Kumta, MD",Internal Medicine
"Tatyana Kushner, MD",Gastroenterology
"Alexandra Livanos, MD, PhD",Gastroenterology
"Elizabeth J Loewy-Vukic, MD",Pediatric Allergy & Immunology / Allergy & Immunology
"Aimee L Lucas, MD",Gastroenterology
"Edward Lung, MD",Gastroenterology
"Yuying Luo, MD",Internal Medicine
"Martin Malachovsky, MD",Internal Medicine
"James F Marion, MD",Gastroenterology
Clinical Integrated Network,Clinically Integrated Network Member
"Tracey Martin, MD",Internal Medicine
"Elana Maser, MD",Gastroenterology
"Elizabeth McAneny, PT",Physical Therapist
"George F McKinley, MD",Infectious Disease
"Saurabh Mehandru, MD",Gastroenterology
"Ira S Meisels, MD",Nephrology
"Haleh Milani, MD",Cardiology
"Edwardine M Mohanraj, MD",Critical Care Medicine / Pulmonary Disease
"Frank A Nelson, MD",Gastroenterology
"Richard R Neufeld, MD",Internal Medicine / Geriatric Medicine
"Haidang D Nguyen, MD",Pediatrics
"John K Nia, MD",Dermatology
"Charlotte S Noorollah, DO",Dermatology
"Joshua D Novak, MD",Gastroenterology
"Allison Ostrow, MD",Pediatrics
"Carmen E Pal, MD",Kidney/Pancreas Transplantation
"Pruthvi Patel, MD",Gastroenterology
"Andrea N Persaud, MD",Dermatology
"Nina R Priven, MD",Internal Medicine
"Danielle Y Qing, MD",Internal Medicine
"Anna T Resisi, DO",Integrative Medicine
"Rebecca Roediger, MD",Gastroenterology
"Jean W Saleh, MD",Gastroenterology
"James S Salonia, MD",Critical Care Medicine / Pulmonary Disease
"Jahnavi N Sawhney, MD",Gastroenterology
"Michael Schmutter, PT",Physical Therapist
"Clair Schretlen, MD",Internal Medicine
"Leslie F Seecoomar, MD",Gastroenterology
"Michelle M Sells, MD",Internal Medicine
"Brijen Shah, MD",Gastroenterology
"Lauren I Shapiro, MD",Internal Medicine
"Priya Simoes, MD",Internal Medicine
"Priyanka L Singh, MD",Gastroenterology
"Sanjosh Singh, DO",Dermatology
"Michael S Smith, MD",Gastroenterology
"Ali Soroush, MD",Gastroenterology
"Christine F Stavropoulos, MD",Infectious Disease
"David J Steiger, MD",Internal Medicine
"Adam F Steinlauf, MD",Gastroenterology
"Usama Syed, MD",Dermatology
"Ryan C Ungaro, MD",Internal Medicine
"Nastassia Verbitska, MD",Pediatrics
"Augusto Villanueva Rodriguez, MD",Nephrology
"Medicare) Clinical Integrated Network, Emblem Health (HIP","Commerical and Medicare) Clinical Integrated Network, Emblem"
"Jimmy Vo, MD",Internal Medicine
"Christina P Wang, MD",Gastroenterology
"Emily H Wang, MD",Internal Medicine
"Cathy L Ward, MD",Pediatrics
"Pascale M White, MD",Gastroenterology
"Serre-Yu Wong, MD",Gastroenterology
"Dana Zalkin, MD",Gastroenterology
"Saul Zion, PT",Physical Therapist
"Danijela S Zotovic, MD",Internal Medicine
"John Abroon, MD",Internal Medicine
"Peter J Baiocco, MD",Internal Medicine / Gastroenterology
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, Humana (Medicare), Oscar, UMR Top Tier,"
"Douglas R Birns, MD",Urology
"Robert L Buka, MD",Dermatology
"Michele Burgess, MD",Dermatology
"Liboria Buscemi, MD",Dermatology
"Paul J Cagle, MD",Orthopaedic Surgery
"Margot Chima, MD",Dermatology
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology
"Charlotte Cunningham-Rundles, MD",Clinical Immunology
"Beau A DiCicco, MD",Dermatology
"Robert L Finney, MD",Dermatology
"Laura J Fitzpatrick, MD",Dermatology
"John Flanagan, MD",Ophthalmology
"Frederick Friedman, MD",Obstetrics & Gynecology
United (Commercial) Clinical Integrated Network,Clinically Integrated Network Member
"Alison B Gruen, MD",Dermatology
"Peter W Hashim, MD",Dermatology
"Diana Y Ho, MD",Obstetrics & Gynecology
"Rebecca Kleinerman, MD",Dermatology
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top","Tier, United (Commercial) Clinical Integrated Network"
"Lauren L Levy, MD",Dermatology
"Michelle Li, MD",Family Medicine
"Martin Malachovsky, MD",Internal Medicine
"Jarrett Masson, MD",Obstetrics & Gynecology
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, UMR Top Tier"
"John K Nia, MD",Dermatology
"Allison Ostrow, MD",Pediatrics
"Vino K Palli, MD",Internal Medicine
"Andrew J Peranteau, MD",Dermatology
"William D Priester, MD",Cardiology / Internal Medicine
"Sanjosh Singh, DO",Dermatology
"Meredith Sternstein, MD",Obstetrics & Gynecology
"Lisa B Szubin, MD",Otolaryngology
Clinically Integrated Network Member,"(212) 249-7978    |    3 East 71st Street, New York, NY 10021    |     2.11 miles"
"Nastassia Verbitska, MD",Pediatrics
"Abbe M Wain, MD",Obstetrics & Gynecology
"Danijela S Zotovic, MD",Internal Medicine
"Sumayya Ahmad, MD",Ophthalmology
"Apoorva Avutu, DO",Internal Medicine
"Priti Batta, MD",Ophthalmology
"Vivien Boniuk, MD",Ophthalmology
"Alexander Bulanov, DO",Colon & Rectal Surgery
"Noah Canlas, MD",Family Medicine
"Nisha Chadha, MD",Ophthalmology
"Charissa Y Chang, MD",Liver Transplanation
"Margaret Chapman, MD",Pediatrics
"Masako Chen, MD",Ophthalmology
"Christina Cherny, OD",Optometry
"Renu Chiruvolu, DO",Family Medicine
"Alexis C Colvin, MD",Orthopaedic Surgery
"Mary Abigail Craven, MD",Ophthalmology
"Kristina M Creadore, OD",Optometry
"Avnish Deobhakta, MD",Ophthalmology
"Nisha Dhawlikar, MD",Ophthalmology
"Alberto Distefano, MD",Ophthalmology
"Monica M Dweck, MD",Ophthalmology
"Valerie I Elmalem, MD",Ophthalmology
"Julia M Fallon, MD",Ophthalmology
"Zarah B Fernandez, MD",Internal Medicine
"Artur Filipowicz, DO",Ophthalmology
"Robert L Finney, MD",Dermatology
"Rochelle E Fleisher, OD",Optometry
"Tamiesha Frempong, MD",Pediatrics
"Donna J Gagliuso, MD",Ophthalmology
"Olivia Ghaw, MD",Rheumatology
"Robin N Ginsburg, MD",Ophthalmology
"Anita Gupta, MD",Ophthalmology
"Meenakashi Gupta, MD",Ophthalmology
"Mary Brigid R Halloran, DO",Family Medicine
"David J Harris, MD",Ophthalmology
"Spiros P Hiotis, MD",Surgical Oncology / General Surgery
"Tsontcho Ianchulev, MD",Ophthalmology
"Jordan M Jacobs, MD",Plastic Surgery
"Andrew Jin, MD",Ophthalmology
"Gautam Kamthan, MD",Ophthalmology
"Yogita K Kashyap, MD",Ophthalmology
"Andrew J Kaufman, MD",Cardiothoracic Surgery
"William H Kimbrough, MD",Internal Medicine
"Alyssa Korenstein, MD",Family Medicine
"Harini Kumar, MD",Family Medicine
"Alex J Ky-Miyasaka, MD",Colon & Rectal Surgery / General Surgery
"Gennady B Landa, MD",Ophthalmology
"Linda Law, MD",Gastroenterology / Hepatology
Clinically Integrated Network Member,"(212) 731-3610    |    168 Centre Street, New York, NY 10013    |     2.21 miles"
"Rachel Lee, MD",Ophthalmology
"Gareth Lema, MD",Ophthalmology
"Yafeng Li, MD",Ophthalmology
"James Lin, MD",Orthopaedic Surgery
"Yunyun A Lo, MD",General Surgery
"Tianyi Lu, MD",General Surgery
"Palak Majmudar, MD",Ophthalmology
"Kira Manusis, MD",Ophthalmology
"Ray R Min, DO",Family Medicine
"Trisha Mor, MD",Ophthalmology
"Donald C Okoye, MD",Pediatrics / Internal Medicine
"Michael Park, MD",Ophthalmology
"Louis R Pasquale, MD",Ophthalmology
"Megha B Patel, MD",Family Medicine
"Neal S Patel, MD",Ophthalmology
"Varun Pawar, MD",Ophthalmology
"Thomas Quehl, MD",Ophthalmology
"Edward L Raab, MD",Pediatrics
"Nathan M Radcliffe, MD",Ophthalmology
"Aubrey Raimondi, MD",Family Medicine
"Harsha S Reddy, MD",Ophthalmology
"Evan Rieder, MD",Dermatology
"Radames V Rios-Gonzalez, MD",Ophthalmology
"Chiara Rocha, MD",Transplant Surgery
"Richard B Rosen, MD",Ophthalmology
"Sitara Satish, MD",Family Medicine
"Myron Schwartz, MD",Liver Transplanation
"Ekaterina Semenova, MD",Ophthalmology
"Paul A Sidoti, MD",Ophthalmology
"Roland Theodore Smith, MD",Ophthalmology
"Max W Sung, MD",Medical Oncology
"Fasiha Syed, DO",Family Medicine
