Full Name
"Judith A Aberg, MD"
"Eugene Choo, MD"
"Sung Yoon Choo, MD"
"Aparna Chopra, MBBS"
"Courtney Chou, MD"
"Nadine F Choueiter, MD"
"Desiree Chow, MD"
"Lawremce Chow, MD"
"Stephanie W Chow, MD"
"Youyin Choy, MD"
"Mary C Christopher, MD"
"Barbara Chubak, MD"
"Audrey K Chun, MD"
"Nicholas H Chun, MD"
"Daniel Chung, MD"
"Jaeah Chung, MD"
"Wendy Chung, MD"
"Janice Y Chyou, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Ahuva Cices, MD"
"Mateusz K Ciejka, MD"
"Jennifer Ciuchta, MD"
"Brian A Coakley, MD"
"Aaron Cohen, MD"
"Fred Cohen, MD"
"Ian J Cohen, MD"
"Lawrence B Cohen, MD"
"Leeber Cohen, MD"
"Louis J Cohen, MD"
"Noah Cohen, MD"
"Samantha Cohen, MD"
"Nancy Coles, MD"
"Frank S Coletta, MD"
"Madison L Collins, MD"
"Victoria E Collins, MD"
"Alexis C Colvin, MD"
"Angela Condo, MD"
"Brendan D Connell, MD"
"Johanna P Contreras, MD"
"Alexandra L Coria, MD"
"James Cornwall, MD"
"Juan Camilo Correa-Gallego, MD"
"Maura K Cosetti, MD"
"David Coun, MD"
"Mark S Courey, MD"
"Ethan A Cowan, MD"
"John F Crary, MD"
"Mary Abigail Craven, MD"
"Kristina M Creadore, OD"
"Rita Crooms, MD"
"Catrina Cropano, MD"
"Christina M Cruz, MD"
"Giselle Cruz, MD"
"Lisanne Cruz, MD"
"David P Culang, MD"
"Bruce E Culliney, MD"
"Karina Cymes, MD"
"Lisa Dabney, MD"
"Neha Dangayach, MD"
"Celeenamma B Daniel, MD"
"(212) 420-2000    |    281 1st Avenue, New York, NY 10003    |     1.24 miles"
"Rachel B Danis, MD"
"Joseph Dario, MD"
"Mohamed Darwish, MD"
"Morgan P Dauer, MD"
"Cula Dautriche-Svidzinski, MD"
"Terry F Davies, MD"
"Reade A De Leacy, MD"
"Jonathan DeAssis, MD"
"Chelsea A DeBolt, MD"
"Anthony DeVivo, DO"
"Martyna DeVries, MD"
"Deborah N Dean, MD"
"Aleksandra Degtyar, MD"
"Fumiko Dekio, MD"
"Anthony G Del Signore, MD"
"Joseph Deluca, PhD"
"Francine R Dembitzer, MD"
"Avnish Deobhakta, MD"
"Kim Derespina, MD"
"Nikita Desai, MD"
"Jason A Deutsch, MD"
"Sean A Dhanraj, MD"
"Kavita V Dharmarajan, MD"
"Nisha Dhawlikar, MD"
"Gabriele DiLuozzo, MD"
"Andrew G Dill, MD"
"Olivia Ding, MD"
"Caner Z Dinlenc, MD"
"Eddys Disla, MD"
"Alberto Distefano, MD"
"Celia Divino, MD"
"Miroslav L Djordjevic, MD"
Clinically Integrated Network Member
"Yoni Dokko, MD"
"Michael T Dolinger, MD"
"Daniel S Donovan, MD"
"Rushad K Dordi, MD"
"Matthew Drago, MD"
"Monica V Dragoman, MD"
"Jared Dropkin, DO"
"Kathryn Dubowski, MD"
"Amy S Duffield, MD"
"Alina Dulau Florea, MD"
"David S Dunkin, MD"
"Ricardo O Dunner, MD"
"Son Q Duong, MD"
"Emmanuel During, MD"
"Pinaki R Dutta, MD"
"Monica M Dweck, MD"
"Jamie Edelstein, MD"
"Eric D Edwards, MD"
"Patrick Eiben, MD"
"Nicole Eiden, MD"
"Mahyar Eidgah, MD"
"Elliot D Eisenberg, MD"
"Fanny M Elahi, MD, PhD"
"Mohamed Elfatihi, MD"
"Junona Elgudin, MD"
"Melto J Eliades, MD"
"Jonathan P Ellant, MD"
"Valerie I Elmalem, MD"
"Kevin Elmore, MD"
"Mohammed W Elshorafa, MD"
"Mehrdad Emami, MD"
"Courtney Ensslin, MD"
"Daniel Epshtein, OD"
"Hulya M Erhan-Sangenito, PhD"
"Raymonde E Ernest-Jean, MD"
"Luis M Espinal Hichez, MD"
"Henry W Evans, MD"
"Erica L Everest, MD"
"Ugo A Ezenkwele, MD"
"Michelle T Fabian, MD"
"Ralph Fader, MD"
"Michael J Falk, MD"
"Julia M Fallon, MD"
"Reshmitha Fallurin, MD"
"Jun Fan, MD"
"Lena Fan, MD"
"Wen Fan, MD"
"H. Elizabeth Fang, MD"
"Hassan Farhat, MD"
"Samir A Farhat, MD"
"Peter L Faries, MD"
"Edmund Farris, MD"
"Emily Fatakhov, MD"
"Adriana Feder, MD"
"Todd E Feinberg, MD"
"Shara J Feldman, PhD"
"Michael R Felsen, MD"
"Justine Fenner-Biederman, MD"
"David Fernandez, MD"
"Gregory Fernandez, MD"
"Helen M Fernandez, MD"
Clinical Integrated Network
"Gustavo G Fernandez Ranvier, MD"
"Anusha R Fernando, MD"
"Fernando Ferrer, MD"
"Maria I Fiel, MD"
"Johanna T Fifi, MD"
"Martijn Figee, MD"
"Alexander Filatov, MD"
"Artur Filipowicz, DO"
"Jason Filopei, MD"
"John Flanagan, MD"
"Evan L Flatow, MD"
"Rochelle E Fleisher, OD"
"Joyce F Fogel, MD"
"John L Foggle, MD"
"Elissa K Fory, MD"
"John T Fox, MD"
"Jaryd M Frankel, DO"
"Anna Frants, MD"
"Latoya Freeman-Beman, MD"
"Tamiesha Frempong, MD"
"Joshua S Friedman, MD"
"Timothy M Friedman, MD"
"Ann C Frisse, MD"
"Nicholas Fuca, MD"
"Jennifer Y Fung, MD"
"Michelle Gaba, MD"
"Donna J Gagliuso, MD"
"Rahul Gaikwad, MD"
"Amany Galal, MD"
"Leesa M Galatz, MD"
"Gregory M Gale, MD"
"Marian L Gambrell, MD"
"Nipa D Gandhi, MD"
"Sandeep Gangadharan, MD"
"Weiyi Gao, MD"
"Sylvia Garcia, MD"
"Justin T Gasper, MD"
"(Commercial/Medicare) Clinical Integrated Network, Humana "
"Jessica L Gatt, MD"
"Nicholas Gavin, MD"
"Miwa K Geiger, MD"
"Dmitriy Gekhman, MD"
"Bruce D Gelb, MD"
"Laura P Gelfman, MD"
"Jessica Gelman, RD"
"Eric M Genden, MD"
"Ronald C Gentile, MD"
"Justin M George, MD"
"Vani P George, DO"
"Isabelle M Germano, MD"
"Joseph Ghassibi, MD"
"Saadi Ghatan, MD"
"Zahra Ghiassi-Nejad, MD"
"Umesh K Gidwani, MD"
"Jaskirat K Gill, MD"
"Jennifer K Gillen, MD"
"Laura C Gilroy, MD"
"Boris Gilyadov, MD"
"Pedro Giron, MD"
"Melissa R Gitman, MD"
"James N Gladstone, MD"
"Ella Glaser, MD"
"Jeffrey A Glassberg, MD"
"Jaimie B Glick, MD"
"Ariana Gluck, DO"
"Neha Goel, MD"
"Jacob K Goertz, MD"
"Jacqeline S Gofshtey, MD"
"Alexandra Golant, MD"
"Stephanie L Gold, MD"
"Ariella R Goldman, MD"
"Thomas I Goldman, DPM"
"Armin Gollogly, MD"
"Tessa S Gomez, MD"
"Dania A Goodin, MD"
"Karyn Goodman, MD"
"Rostislav Gorbatov, MD"
"Jonathan C Gordon, MD"
"Farzan Gorgani, DO"
"Alice Gottlieb, MD"
"Scott Gottlieb, MD"
Clinically Integrated Network Member
"Zoe Gottlieb, MD"
"Satish Govindaraj, MD"
"Ramesh M Gowda, MD"
"Michael Graber, MD"
"John Graham, MD"
"Chantal Y Grant, MD"
"Mingyang L Gray, MD"
"Vincent Grbach, MD"
"Mark W Green, MD"
"Robert S Green, MD"
"Sheryl Green, MD"
"Howard J Greenberg, MD"
"Alexander J Greenstein, MD"
"David A Greenwald, MD"
"Jonathan Grenadir, MD"
"Ari M Grinspan, MD"
"Caroline R Gross, MD"
"Robert J Grossi, MD"
"Duncan H Grossman, DO"
"Aaron B Grotas, MD"
"Steven J Gruber, MD"
"Grace Y Gu, MD"
"Jay Guevarra, MD"
"Ganesh Gunasekaran, MD"
"Anita Gupta, MD"
Clinically Integrated Network Member
"Deepali Gupta, MD"
"Hailey S Gupta, MD"
"Nishant K Gupta, MD"
"Swapnil Gupta, MD"
"Vanita Gupta, MD"
"Vishal Gupta, MD"
"Gary Gwertzman, MD"
"Leah Habersham, MD, MBA"
"Sara Hadi, MD"
"Patrick Haenlein, MD"
"Mehrvash Haghighi, MD"
"Christopher W Hahn, MD"
"Sue Hahn, MD"
"Ali Haidar, MD"
"George K Haines, MD"
"Demetrios Halikiopoulos, DO"
"Joan Han, MD"
"Sang Myung Han, MD"
"Samuel Hanon, MD"
"Laurel R Hansen, MD"
"Thomas P Hansen, MD"
"Rosy Hao, MD"
"Maichael D Harbus, DO"
"Malini Harigopal, MD"
"Timothy J Harkin, MD"
"Marco A Harmaty, MD"
"Noam Harpaz, MD"
"David J Harris, MD"
"Eugenius J Harvey, MD"
"Peter W Hashim, MD"
"Virgil Hatcher, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Leif Havton, MD"
"Brett Hayden, MD"
"Nicole C Hays, DO"
"Chen He, MD"
"Cyrus V Hedvat, MD"
"Clemens W Heiderhoff, MD"
"Tomas M Heimann, MD"
"Michael B Heller, MD"
"Patricia Heller, MD"
"Gregory Henderson, MD"
"Kimberly Henderson, MD"
"Peter W Henderson, MD"
"Aneury Hernandez, MD"
"Jordan Hernandez, MD"
Clinically Integrated Network Member
"Joseph E Herrera, DO"
"Daniel M Herron, MD"
"Nicolas Hidalgo Corral, MD"
"Fady Hijji, MD"
"Harvey Himel, MD"
"Mehwish Hina, MD"
"Franz R Hinojosa, MD"
"Gregory A Hinrichsen, PhD"
"Spiros P Hiotis, MD"
"Robert P Hirten, MD"
"Diana Y Ho, MD"
"Stephanie S Hocking, MD"
"Nicholas Hoerter, MD"
"Robert Hoke, MD"
"Jason Holloway, PsyD"
"Mark C Homonoff, MD"
"Bradley T Horak, MD"
"Elan L Horesh, MD, MPH"
"Sam Horng, MD"
"Robyn E Horowitz, MD"
"Amr Hosny, MD"
"Rubayet Hossain, MD"
"Hilary M Hotchkiss, MD"
"Philip J Howard, MD"
"Ian Hsu, MD"
"Shu-Wei Hsu, MD"
"Jimmy Hu, MD"
"Kevin Hu, MD"
"Sam K Huh, MD"
"Sarah Humphreys, MD"
"Solomon Husain, MD"
"Sehba Husain-Krautter, MD, PhD"
"Shafinaz R Hussein, MD"
"Codrin Iacob, MD"
"Tsontcho Ianchulev, MD"
"Erica E Igbinoghene, MD"
"Alfred Marc C Iloreta, MD"
"Benedikt Ilyaguyev, DO"
"Krithi Irmady, MBBS"
"Estevana J Isaac, MD"
"Mehrin Islam, MD"
"Steven Itzkowitz, MD"
"Adelle Iusim, MD"
"Chinazor J Iwuaba, MD"
"Anitha Iyer-Kothari, PhD"
"Genevieve Izzo, PhD"
"Claire L Jackson-Rabinowitz, DO"
"Adam R Jacobs, MD"
"Jordan M Jacobs, MD"
"Lawrence M Jacobson, MD"
"Andy S Jagoda, MD"
"Anthony F Jahn, MD"
"Sonal B Jani, MD"
Clinically Integrated Network Member
"Geoffrey W Jara-Almonte, MD"
"Logan Jardine, MD"
"Eric Jarmon, DO"
"Waleed Javaid, MD"
"Noelle Marie C Javier, MD"
"Cortlyn Jeter, MD"
"(212) 420-2000    |    281 1st Avenue, New York, NY 10003    |     1.24 miles"
"Andrew Ji, MD"
"Rui Jiang, MD"
"Andrew Jin, MD"
"Malcolm Johnson, MD"
"Jose Miguel Juarez, MD"
"Jeffrey Julian, MD"
"Michele Kaku, MD"
"Tamara L Kalir, MD"
"Gautam Kamthan, MD"
"Steven Kane, MD"
"Yumiko Kanei, MD"
"Melissa Kang, MD"
"Steven Kaplan, MD"
"Yonatan B Kaplan, MD"
"Jennifer L Kartashevsky, RD"
"Yogita K Kashyap, MD"
"Nadine Kaskas, MD"
"Donald M Kastenbaum, MD"
"Viktoriya Katsnelson, MD"
"Craig L Katz, MD"
"Andrew J Kaufman, MD"
"(212)-523-2798    |    10 Union Square East, Suite 2A, New York, NY 10003    |     1.24 miles"
"Jenna Kaufman, MD"
"Lewis Kaufman, MD"
"Shubhi Kaushik, MD"
"Nidhi Kavi, DO"
"Maia Kayal, MD"
"Christopher P Kellner, MD"
"(212) 844-8383    |    10 Union Square East, 5th Floor, New York, NY 10003    |     1.24 miles"
"Kristen M Kelly, MD"
"Meghan Kelly, MD"
"Sergey Khaitov, MD"
"Rishi Khakhkha, MD, MBA"
"Susan S Khalil, MD"
"Mohemmed Khan, MD"
"Mariam Khandaker, MD"
"Azin Khanmohamadi, MD"
"Utsha Khatri, MD"
"Jonnathan Khusid, MD"
"Stuart Kilstein, MD"
"Boram Kim, DO"
"Brian D Kim, MD"
"Jaehon M Kim, MD"
"John K Kim, MD"
"Sanghyun A Kim, MD"
"Se Min Kim, MD"
"Soo Y Kim, MD"
"Sung Y Kim, MD"
"Subhash U Kini, MD"
Clinical Integrated Network
"Diana N Kirke, MD"
"Maria D Klara, PsyD"
"Dana Klavansky, MD"
"Brett Klein, RD"
"Nina C Klein, DPM"
"Paula Klein, MD"
"Rebecca Klein, MD"
"Christopher Koenig, MD"
"Roopa Kohli-Seth, MD"
"Agnieszka Kokoszka, MD"
"Tamara N Kolev, MD"
"Valentin G Kolev, MD"
"Kazimierz W Komperda, MD"
"Foula C Kontonicolas, MD"
"Brian H Kopell, MD"
"Richard S Koplin, MD"
"Richard S Koplin, MD"
"Adam Korayem, MD"
"Ninan Koshy, MD"
"Sanjana C Koshy, MD"
"Peter Kozuch, MD"
"Monica Kraft, MD"
"Joel M Krauss, MD"
"Paul H Krieger, MD"
"Merab Krikhely, MD"
"Priya Krishnasamy, MD"
"Stephen Kronenberg, MD"
"Christopher Kroppmann, MD"
"Jessica Krugman, MD"
"Yael Kufert, MD"
"John Kulesa, MD"
"Kaushal Kulkarni, MD"
"Angelish Kumar, MD"
"Vaishnavi N Kundel, MD"
"Mark J Kupersmith, MD"
"Daniel B Kurbanov, MD"
"Susannah L Kurtz, MD"
"Zachary D Kuschner, MD"
"Jason Kushner, MD"
"Alex J Ky-Miyasaka, MD"
"Cameron Kyle-Sidell, MD"
"Carisa Kymissis, MD"
"Joanne Lai, MD"
"Kevin Lai, MD"
"Benjamin Laitman, MD"
"Sameer Lakha, MD"
"Austin S Lam, MD"
"David Lam, MD"
"Patrick W Lam, MD"
"Jacqueline Lamour, MD"
"Calvin E Lampert, MD"
"Gennady B Landa, MD"
"Alexis P Langsfeld, MD"
"Michael D Lanigan, MD"
"John C Lantis, MD"
"Daniel Laroche, MD"
"Integrated Network, Emblem Health (HIP Commerical and Medicare) "
"Simeon A Lauer, MD"
"Simeon A Lauer, MD"
"Elyse B Lavine, MD"
"Lisa Law, MD"
"Cappi Lay, MD"
"Stanislav Lazarev, MD"
"Katherine E Leaver, MD"
"Melissa Leber, MD"
"Robert Leber, MD"
"Andrew J Lee, MD"
"David S Lee, MD"
"Denise S Lee, MD"
"Jack Lee, PhD"
"Jessica G Lee, MD"
"Kyusang S Lee, MD"
"Marjorie Lee, MD"
"Patty J Lee, MD"
Clinically Integrated Network Member
"Rachel Lee, MD"
"Richard Lee, MD"
"Young I Lee, MD"
"Eric Legome, MD"
"Jennifer Lehman, MD"
"Evan Leibner, MD"
"Rosanne M Leipzig, MD"
"I. Michael Leitman, MD"
"Gareth Lema, MD"
"Andrea Lendaris, MD"
"Kathleen A Leonard, MD"
"Quinn Leslie, MD"
"Stephan J Lestin, MD"
"Justin Leung, MD"
"Rachel J Levene, MD"
"Gabriel S Levi, MD"
"Jeffrey L Levine, MD"
"Stewart B Levine, MD"
"Karen L Levine-Tanco, MD"
"Gregory M Levitin, MD"
"Olga Levochkina, MD"
"Sarah A Levy, PhD"
"Jesse Lewin, MD"
"Valerie D Lewis-Morris, MD"
"(212) 844-8590    |    10 Union Square East, Suite 3E, New York, NY 10003    |     1.24 miles"
"Rigoberto Leyva, MD"
"Boran Li, MD"
"Erin Li, MD"
"Kincheon B Li, MD"
"Linda Li, MD"
"Wei J Li, MD"
"Yafeng Li, MD"
"John W Liang, MD"
"Naomi A Liang, MD"
"Sally Liang, MD"
"Tian Z Liang, MD"
"Bobby C Liaw, MD"
"Max A Lichtenstein, MD"
"Czer Anthoney E Lim, MD"
"Ateaya A Lima, MD"
"Fred Y Lin, MD"
"Lee Y Lin, MD"
"Yue Lin, MD"
"Grace Liu, MD"
"Jerry T Liu, MD"
"Johnson Liu, MD"
"Michelle Liu, MD"
"Qingqing Liu, MD"
"Yuan Liu, MD"
"Yuxin Liu, MD"
"Yunyun A Lo, MD"
"Allison G Lockwood, MD"
"Danielle Loeb, MD"
"Marissa Lombardo, MD"
"Michael H Loshigian, DPM"
"Holly C Loudon, MD"
"Barry A Love, MD"
"Elyse M Love, MD"
"Jennifer Love, MD"
"Melissa Lozano, MD"
"Dan Lu, MD"
"Tianyi Lu, MD"
"Naomi Lubarr, MD"
"Aimee L Lucas, MD"
"Mallory Luckey, MD"
"Sanida Lukovic, MD"
"Marc J Lustig, MD"
"Songhui Ma, MD"
"Daniel J MacGowan, MD"
"Laura MacIsaac, MD"
"Lian A Mack, MD"
"Nolan Maher, MD"
"Patrick J Maher, MD"
"Matthew F Majeske, MD"
"Shahram Majidi, MD"
"Palak Majmudar, MD"
"Khushbu Majmundar, MD"
"Neha Malhotra, MD"
"Meghan C Maloney, MD"
"Eleni Maloutas, MD"
"Gregory Malzberg, MD"
"Anthony R Manasia, MD"
Clinically Integrated Network Member
"Kimberly Mangla, MD"
"Barbara Mann, MD"
"Kira Manusis, MD"
"Gonzalo Manzano, MD"
"Thomas E Maples, MD"
"Thomas E Maples, MD"
"Yonina Mar, MBBS"
"Kerline Marcelin, MD"
"Konstantinos Margetis, MD"
"Michael L Marin, MD"
"Isaac Marin-Valencia, MD"
"James F Marion, MD"
"Maxim Marshalik, DO"
"Deborah C Marshall, MD"
"Janeen Marshall, MD"
"Susan Marshall, MD"
"Jennifer L Marti, MD"
"Krista Martinez, MD"
"Ilse Martinez Espina, MD"
"Maureen D Martino, MD"
"Rachel J Masch, MD"
"(212) 844-5570    |    First Avenue at 16th Street, New York, NY 10003    |     1.24 miles"
"Elana Maser, MD"
"Grigoriy Mashkevich, MD"
"Caroline Massarelli, MD"
"Jarrett Masson, MD"
"Christina N Mastropaolo, MD"
"Rebecca K Masutani, MD"
"Harriet L Mather, MD"
"Ryan Mather, MD"
"Judith E Mathieu, MD"
"James Mattson, MD"
"James Maurer, MD"
"Martin J Maurer, MD"
"Alexander Mayer, DO"
"Daniel McConnell, MD"
"Sarah A McCord, MD"
"Sarah L McCuskee, MD"
"Daniel T McGovern, MD"
"Jolion McGreevy, MD"
"Joshua O McHugh, MD"
"James F McKinsey, MD"
"Benjamin A McVane, MD"
"Yuliya Medzhitova, PhD"
"Michael N Megally, MD"
"Saurabh Mehandru, MD"
"Reza Mehrazin, MD"
"Amy Mehta, MD"
"Ankita Mehta, MD"
"Rachel J Meislin, MD"
"Yohannes Melaku, MD"
"Marcelo Mendez, MD"
"Jenna M Mennella, DO"
"Mani Menon, MD"
"Roland Merchant, MD"
"Pamela R Merola, MD"
"(212) 844-8300    |    First Avenue at 16th Street, New York, NY 10003    |     1.24 miles"
"Sundus Mian, MD"
"Mark Mikhly, MD"
"Bojana Milekic, MD"
"Ramon Millan, MD"
"Albert Miller, MD"
Clinical Integrated Network
"Ryan P Minara, DPM"
"Betty J Mintz, MD"
"Luisa Isabel Misa, MD"
"Jonathan Mishoe, MD"
"Grant E Mitchell, MD"
"Tiffany Mitchell, MD"
"Avir Mitra, MD"
"Joseph Mizrahi, MD"
"J. D Mocco, MD"
"Amirhossein Modabbernia, MD"
"Ippolito Modica, MD"
"Neal Moehrle, MD"
"Borna Mohabbatizadeh, MD"
"Edwardine M Mohanraj, MD"
Network
"Walter J Molofsky, MD"
"Trisha Mor, MD"
"Matthew C Mori, MD"
"Rolfe Sean Morrison, MD"
"David Mortel, MD"
"Zan Mra, MD"
"Bridget Mueller, MD"
"Christie Mulholland, MD"
"Michael P Mullen, MD"
"Meaghan E Mungekar, MD"
"Jessi Munoz, MD"
"Meagan Murphy, MD"
"Sara Murphy, MD"
"Shruti Mutalik, MD"
"Georges Naasan, MD"
"Allie M Nadelson, MD"
"Allie M Nadelson, MD"
"Satish Nagula, MD"
"Mark Nakhla, MD"
"Isaac Namdar, MD"
"Arunabha Nandi, MD"
"Becky Naoulou, MD"
"Lynne C Napatalung, MD"
"Denise Nassisi, MD"
"Benjamin H Natelson, MD"
"Pablo C Navarro, MD"
"Allison P Navis, MD"
"Mansi M Nayak, MD"
"Leonard Naymagon, MD"
"Marilyn T Nedumcheril, MD"
"Anthony D Nehlsen, MD"
"Frank A Nelson, MD"
Clinically Integrated Network Member
"Nicole C Ng, MD"
"Phuong M Nghi, MD"
"Scott Q Nguyen, MD"
"Thomas T Nguyen, MD"
"George Niedt, MD"
"Andrew B Nightingale, MD"
"Jeffrey D Nightingale, MD"
"Kusuma Nio, MD"
"Yoav Niv Granot, MD"
"Koichi Nomoto, MD"
"Michael Nowak, MD"
"Jeranil Nunez, MD"
"Custon T Nyabanga, MD"
"Jacob Nyman, PhD"
"Sussana Oad, MD"
"Adesanmi A Ojo, MD"
"Shunpei Okochi, MD"
"Rita Okumu, MD"
"Samsiya Ona, MD"
"Ceyda Oner, MD"
"Matthew Oransky, PhD"
"Chiarra M Ornillo, MD"
"Erika Ortiz Sarmiento, MD"
"Annemarie O Osibajo, MD"
"Dmitry Ostrovsky, MD"
"Randall P Owen, MD"
"Thomas J Oxley, MD"
"Jason L Pachman, MD"
"Oscar A Padilla, MD"
"Chandhana Paka, MD"
"Michael A Palese, MD"
"Christina A Palmese, PhD"
"Anthony J Panarelli, MD"
"Alberto Paniz-Mondolfi, MD"
"Fedor E Panov, MD"
"Nicholas V Papapietro, MD"
"Andrew Para, MD"
"Jai Parekh, MD"
"Deep U Parikh, MD"
"Robert Parisien, MD"
"Koji Park, MD"
"Michael Park, MD"
"Sarah H Park, MD"
"Kenya Maria Parks, MD"
"Bradford O Parsons, MD"
"Louis R Pasquale, MD"
"Suparna Patcha, MD"
"Amish Patel, MD"
"Devendra A Patel, MD"
"Dhruti Patel, MD"
"Divya Patel, MD"
"Hetal Patel, DO"
"Neal S Patel, MD"
"Puja K Patel, MD"
"Vaishali R Patel, MD"
"Vishal Patel, MD"
"Paru S Patrawalla, MD"
"John Paulsen, MD"
"Luca Pauselli, MD"
"Chandni K Pawar, MD"
"Varun Pawar, MD"
"Ayla Pelleg, MD"
"Ian B Penzel, PhD"
"Enrique Perez, MD"
"David C Perlman, MD"
"David J Perna, MD"
"Kimberly G Peters, MD"
"Bruce E Petersen, MD"
"John P Phair, MD"
"Robert G Phelps, MD"
"Federica Picozzi-Akke, MD"
"Harrison Pidgeon, MD"
"Alexander Pinhas, MD"
"David J Pinhas, MD"
"Nanci S Pittman, MD"
"Matthew Pius, MD"
"Michael C Plietz, MD"
"Aryeh L Pollack, MD"
"Galia Pollock, MD"
"Alexandros D Polydorides, MD"
"Hooman D Poor, MD"
"Elisa R Port, MD"
"Roberto Posada, MD"
"Natalia Potapova, MD"
"Paul Poulakos, DO"
"Trevor R Pour, MD"
"Charles A Powell, MD"
"Gabriel Prager, MD"
"Monica Prasad-Hayes, MD"
"Dushyant P Purohit, MD"
"Rajveer S Purohit, MD"
"John D Puskas, MD"
"Dewitt D Pyburn, MD"
"Libo Qiu, MD"
"Thomas Quehl, MD"
"Seema Quraishi, MD"
"Edward L Raab, MD"
"Elaine J Rabin, MD"
"Alexander Rabinovich, MD"
"Maurice Rachko, MD"
"Nathan M Radcliffe, MD"
"Timothy Radomisli, MD"
"Florian Radu, DO"
"Sreekala Raghavan, MD"
"Asif M Rahman, MD"
"Peter Raimondi, MD"
"Ravishankar Ramaswamy, MD"
"Naomi Ramer, DDS"
"(212) 420-2124    |    281 First Avenue, New York, NY 10003    |     1.24 miles"
"Andres Ramirez Zamudio, MD"
"Nicole Ramsey, MD"
"Ajit Rao, MD"
"David M Rapoport, MD"
"Christopher R Razavi, MD"
"Jennifer Reckrey, MD"
"Avinash K Reddy, MD"
"Harsha S Reddy, MD"
"Bianca Redhead, MD"
"Michael A Redlener, MD"
"Tahreem Rehman, MD"
"Danya E Reich, MD"
"Jessica A Reid-Adam, MD"
"Joshua L Rein, DO"
"Richelle M Reinhart, MD"
"Ryan Renacci, MD"
"Madeline Renny, MD"
"Kestrel Reopelle, MD"
"Lucas R Resende Salgado, MD"
"Christopher Reverte, MD"
"Jonathan J Richards, DPM"
"Christopher G Richardson, MD"
"Lynne D Richardson, MD"
"Nicholas Richardson, MD"
"Timothy E Richardson, DO"
"Darrell S Rigel, MD"
"Radames V Rios-Gonzalez, MD"
"Max Rippe, MD"
"Graciano Rivera, MD"
"Veronica Rivera, MD"
"Luis G Rivera Sanchez, MD"
"Daniela Rizzo, MD"
"Robin D Roberts, MD"
"Rebecca A Rodin, MD"
"Vanessa M Rodriguez, MD"
"Zoe I Rodriguez, MD"
"Carlos R Rodriguez-Jaquez, MD"
"Linda Rogers, MD"
"Christopher J Romero, MD"
"Scott A Roof, MD"
"Chanland Roonprapunt, MD"
Clinical Integrated Network
"Jeremy M Rose, MD"
"Leigh Rosen, MD"
"Joshua D Rosenberg, MD"
"Rhonda Rosenberg, MD"
"Harvey S Rosenblum, MD"
"Benjamin E Rosenstadt, MD"
"Blake D Rosenthal, MD"
"Kenneth E Rosenzweig, MD"
"Hugo O Rosero, DO"
"Susan D Rothenberg, MD"
"Adam C Rothman, MD"
"Carl-Philippe Rousseau, MD"
"Joel R Rowe, MD"
"John Rozehnal, MD"
"Elizabeth J Rubano, MD"
"Allen Rubin, MD"
"Julietta D Rubin, MD"
"Jason R Rubinov, MD"
"Glenn A Rudner, MD"
"Steven Rudolph, MD"
"Nisha A Rughwani, MD"
"Phillip Ruiz, MD"
"Sophia Ryan, MD"
"Jihan Ryu, MD"
"Basera K Sabharwal, MD"
"Andrin Sadikaj, MD"
"Yasir Saeed, MBBS"
"Joshua D Safer, MD"
"Louis Saffran, MD"
"Daniel S Safin, MD"
"Audrey Saitta, MD"
"Ankit Sakhuja, MBBS"
"Jeffrey M Saland, MD"
"Christian Salib, MD"
"Nadim Salomon, MD"
"James S Salonia, MD"
"Edwin A Salsitz, MD"
"Vishnupriya Samarendra, MD"
"Barbara A Sampson, MD"
"Robert Samstein, MD"
"Ossama R Samuel, MD"
"Sarah E Samuels, MD"
"Jennifer E Sanders, MD"
"Bruce E Sands, MD"
"Noah B Sands, MD"
"Teresa Santos, LCSW"
"Christine Saracino, DO"
"Umut Sarpel, MD"
"Nidhish Sasi, MD"
"Jodi Sassoon, MD"
"Sammita M Satyanarayan, MD"
"Turandot Saul, MD"
"Rachel J Saunders-Pullman, MD"
"Jahnavi N Sawhney, MD"
"Rollin Say, MD"
"Regina Saylor, MD"
"Hani Sbitany, MD"
"Stephen N Scelsa, MD"
"Madeleine R Schaberg, MD"
"Edwin N Schachter, MD"
"Adelle Schaefer, MD"
"Jonathan Schimmel, MD"
"Adam S Schneiderman, MD"
"Adam S Schneiderman, MD"
"Helena M Schotland, MD"
"Jan F Schuetz-Mueller, MD"
"Jonathan M Schulhof, MD"
"Zachary G Schwam, MD"
"Mirela N Schwartz, MD"
"Howard S Seiden, MD"
"Lana Selitsky, DO"
"Ekaterina Semenova, MD"
"Aruna Seneviratne, MD"
"Matthew Seplowe, DO"
"Monica Sethi, MD"
"John P Sfakianos, MD"
"Ankit R Shah, MD"
"Bina Shah, MD"
"Neomi A Shah, MD"
"Tina Shah, MD"
"Ujas H Shah, MD"
"Ahmed Shaikh, MD"
"Gururaj Shan, MD"
"Vicki L Shanker, MD"
Clinically Integrated Network Member
"Theresa H Shao, MD"
"Ilan Shapira, MD"
"Janet M Shapiro, MD"
"Jonathan P Shapiro, MD"
"Matthew S Shapiro, MD"
"Abdelsalam Sharabi, MD"
"Siri Shastry, MD"
